provincia,comune,comune_istat,area_kmq,popolazione_residente,pro_com_t
AQ,CAPITIGNANO,Capitignano,30.6391,623,066021
AQ,MONTEREALE,Montereale,104.4085,2195,066056
TE,BASCIANO,Basciano,18.8534,2314,067005
TE,ROCCA SANTA MARIA,Rocca Santa Maria,61.7982,454,067036
TE,TORRICELLA SICURA,Torricella Sicura,54.3802,2413,067043
AQ,PIZZOLI,Pizzoli,56.4355,4299,066072
TE,BELLANTE,Bellante,50.0441,6835,067006
TE,CASTELLALTO,Castellalto,34.1757,7248,067011
TE,CERMIGNANO,Cermignano,26.3628,1438,067016
TE,CIVITELLA DEL TRONTO,Civitella del Tronto,77.7369,4575,067017
TE,CROGNALETO,Crognaleto,124.3021,1059,067023
TE,ISOLA DEL GRAN SASSO D'ITALIA,Isola del Gran Sasso d'Italia,84.0449,4436,067026
TE,MONTORIO AL VOMANO,Montorio al Vomano,53.5649,7418,067028
TE,TERAMO,Teramo,152.8387,51630,067041
TE,TOSSICIA,Tossicia,27.1359,1217,067045
AQ,CAMPOTOSTO,Campotosto,51.7244,457,066016
TE,CAMPLI,Campli,73.4239,6536,067008
TE,CASTELLI,Castelli,49.6808,944,067012
AQ,CAGNANO AMITERNO,Cagnano Amiterno,61.3147,1107,066013
TE,COLLEDARA,Colledara,18.013,2077,067018
TE,PIETRACAMELA,Pietracamela,44.4851,207,067034
TE,VALLE CASTELLANA,Valle Castellana,131.7532,845,067046
TE,ARSITA,Arsita,34.136,732,067003
TE,CORTINO,Cortino,62.9439,572,067022
PE,CUGNOLI,Cugnoli,15.9615,1336,068017
TE,PENNA SANT'ANDREA,Penna Sant'Andrea,11.0982,1658,067033
TE,ANCARANO,Ancarano,13.9192,1871,067002
TE,CASTIGLIONE MESSER RAIMONDO,Castiglione Messer Raimondo,30.685,1992,067013
TE,CASTILENTI,Castilenti,23.7941,1314,067014
PE,CATIGNANO,Catignano,17.0254,1240,068010
PE,COLLECORVINO,Collecorvino,31.9847,6013,068015
TE,FANO ADRIANO,Fano Adriano,35.7723,262,067024
TE,CONTROGUERRA,Controguerra,22.8144,2213,067020
TE,NERETO,Nereto,7.0112,5362,067031
PE,PIETRANICO,Pietranico,14.771,435,068032
TE,CASTEL CASTAGNA,Castel Castagna,18.159,424,067010
AQ,PACENTRO,Pacentro,72.5874,1085,066066
TE,CANZANO,Canzano,16.7371,1769,067009
PE,CASTIGLIONE A CASAURIA,Castiglione a Casauria,16.5744,712,068009
TE,CELLINO ATTANASIO,Cellino Attanasio,43.9395,2208,067015
TE,MOSCIANO SANT'ANGELO,Mosciano Sant'Angelo,48.4474,9135,067030
TE,ROSETO DEGLI ABRUZZI,Roseto degli Abruzzi,53.2598,25617,067037
PE,PENNE,Penne,91.1943,11094,068027
AQ,CALASCIO,Calascio,39.4433,125,066014
TE,SANT'OMERO,Sant'Omero,34.2025,5132,067039
TE,MORRO D'ORO,Morro d'Oro,28.7269,3547,067029
AQ,CORFINIO,Corfinio,17.9499,957,066041
AQ,BARETE,Barete,24.5883,631,066008
TE,COLONNELLA,Colonnella,21.633,3669,067019
PE,FARINDOLA,Farindola,45.472,1328,068019
AQ,L'AQUILA,L'Aquila,473.9067,69717,066049
TE,BISENTI,Bisenti,30.8746,1678,067007
TE,ATRI,Atri,92.1814,9935,067004
TE,MONTEFINO,Montefino,18.5937,929,067027
PE,SAN VALENTINO IN ABRUZZO CITERIORE,San Valentino in Abruzzo Citeriore,16.3972,1813,068038
TE,SANT'EGIDIO ALLA VIBRATA,Sant'Egidio alla Vibrata,18.3617,9790,067038
TE,CORROPOLI,Corropoli,22.1135,5077,067021
PE,TORRE DE' PASSERI,Torre de' Passeri,5.9177,2846,068043
AQ,CANSANO,Cansano,37.6995,215,066018
AQ,INTRODACQUA,Introdacqua,37.1068,1942,066048
PE,PICCIANO,Picciano,7.558,1264,068031
AQ,ANVERSA DEGLI ABRUZZI,Anversa degli Abruzzi,32.4329,308,066004
PE,ELICE,Elice,14.3097,1630,068018
TE,TORANO NUOVO,Torano Nuovo,10.2172,1460,067042
TE,MARTINSICURO,Martinsicuro,14.6267,16359,067047
PE,BRITTOLI,Brittoli,15.9862,249,068004
PE,ALANNO,Alanno,32.5275,3325,068002
AQ,RAIANO,Raiano,28.9925,2618,066077
AQ,MOLINA ATERNO,Molina Aterno,12.2078,344,066055
PE,TOCCO DA CASAURIA,Tocco da Casauria,29.6677,2375,068042
AQ,NAVELLI,Navelli,42.0036,569,066058
AQ,CASTEL DI IERI,Castel di Ieri,18.8838,292,066027
AQ,SCOPPITO,Scoppito,53.0036,3789,066095
AQ,PRATOLA PELIGNA,Pratola Peligna,28.6736,7019,066075
PE,PESCOSANSONESCO,Pescosansonesco,18.3464,447,068029
AQ,CAPESTRANO,Capestrano,43.6574,824,066019
PE,CARPINETO DELLA NORA,Carpineto della Nora,24.0818,521,068008
PE,CIVITAQUANA,Civitaquana,21.8798,1124,068013
PE,CIVITELLA CASANOVA,Civitella Casanova,31.096,1572,068014
AQ,CASTELVECCHIO SUBEQUO,Castelvecchio Subequo,19.2942,820,066031
TE,NOTARESCO,Notaresco,38.1502,6304,067032
AQ,SAN PIO DELLE CAMERE,San Pio delle Camere,17.2122,650,066088
TE,PINETO,Pineto,38.1126,14687,067035
PE,CORVARA,Corvara,13.7324,213,068016
AQ,TORNIMPARTE,Tornimparte,65.9606,2749,066101
PE,BOLOGNANO,Bolognano,16.9583,1004,068003
PE,VILLA CELIERA,Villa Celiera,13.1817,543,068046
PE,PIANELLA,Pianella,47.0484,8527,068030
PE,ABBATEGGIO,Abbateggio,15.4014,357,068001
AQ,SULMONA,Sulmona,57.9277,21960,066098
AQ,GAGLIANO ATERNO,Gagliano Aterno,32.1491,225,066045
PE,CITTÀ SANT'ANGELO,Città Sant'Angelo,61.9994,14886,068012
AQ,VILLA SANT'ANGELO,Villa Sant'Angelo,5.2153,489,066105
PE,LORETO APRUTINO,Loreto Aprutino,59.4993,7050,068021
PE,MONTESILVANO,Montesilvano,23.6647,53493,068024
AQ,CIVITELLA ROVETO,Civitella Roveto,45.452,3010,066036
AQ,CASTEL DEL MONTE,Castel del Monte,58.0313,400,066026
RI,ACCUMOLI,Accumoli,87.3429,516,057001
RI,AMATRICE,Amatrice,174.3849,2208,057002
RI,ANTRODOCO,Antrodoco,63.9043,2292,057003
RI,LEONESSA,Leonessa,204.0155,2085,057033
RI,CITTAREALE,Cittareale,59.6602,388,057017
RI,POGGIO BUSTONE,Poggio Bustone,22.3815,1965,057051
RI,CITTADUCALE,Cittaducale,71.2532,6411,057016
RI,POSTA,Posta,66.0132,554,057057
RI,MAGLIANO SABINA,Magliano Sabina,43.1623,3459,057035
RI,RIETI,Rieti,206.455,45286,057059
RI,BORBONA,Borbona,47.9481,573,057006
RI,POGGIO MIRTETO,Poggio Mirteto,26.3948,6124,057053
RI,TARANO,Tarano,19.9797,1366,057067
RI,CANTALICE,Cantalice,37.624,2439,057009
RI,MARCETELLI,Marcetelli,11.0838,57,057036
RI,ROCCANTICA,Roccantica,16.7231,542,057061
RI,BORGO VELINO,Borgo Velino,18.2929,913,057008
RI,CASTEL SANT'ANGELO,Castel Sant'Angelo,31.2697,1186,057015
RI,GRECCIO,Greccio,17.8535,1465,057031
RI,FIAMIGNANO,Fiamignano,100.618,1169,057028
RI,CASTELNUOVO DI FARFA,Castelnuovo di Farfa,8.8422,996,057014
RI,TORRICELLA IN SABINA,Torricella in Sabina,25.7914,1285,057069
RM,FILACCIANO,Filacciano,5.6583,453,058037
RI,CONTIGLIANO,Contigliano,53.5447,3665,057025
RI,PETRELLA SALTO,Petrella Salto,102.9304,1025,057050
