regione,provincia,comune_istat,area_kmq,pro_com_t,richiesto_per_kmq,concesso_per_kmq,liquidato_per_kmq
ABRUZZO,AQ,Anversa degli Abruzzi,32.4329,066004,1901.6853257032212,1901.6853257032212,1887.3125745770499
ABRUZZO,AQ,Barete,24.5883,066008,22668.415465892318,22308.988828019825,22706.20823725105
ABRUZZO,AQ,Cagnano Amiterno,61.3147,066013,24288.291551618124,20615.24495757135,18398.939406047815
ABRUZZO,AQ,Calascio,39.4433,066014,13757.882580818543,12930.41048796627,11372.716278810343
ABRUZZO,AQ,Campotosto,51.7244,066016,75535.05405572611,69744.00553703861,75167.86622947776
ABRUZZO,AQ,Cansano,37.6995,066018,3568.6001140598682,3552.607594265176,2545.5624079894956
ABRUZZO,AQ,Capestrano,43.6574,066019,2729.369362353232,2718.7384040277248,2827.481938915281
ABRUZZO,AQ,Capitignano,30.6391,066021,245198.2528860181,219131.18205169213,209627.92379671728
ABRUZZO,AQ,Castel del Monte,58.0313,066026,3387.861895218615,2947.458354370831,2937.871631343775
ABRUZZO,AQ,Castel di Ieri,18.8838,066027,3091.206748641693,3074.44582128597,3505.214522500768
ABRUZZO,AQ,Castelvecchio Subequo,19.2942,066031,4287.960630655845,4007.9827098298974,4818.602481574774
ABRUZZO,AQ,Civitella Roveto,45.452,066036,3219.1751738097337,3191.7427175921853,3585.540350259615
ABRUZZO,AQ,Corfinio,17.9499,066041,19917.108173304587,18665.629892088535,17355.097242881577
ABRUZZO,AQ,Gagliano Aterno,32.1491,066045,5747.058860123612,3555.1418235658234,3492.405075103191
ABRUZZO,AQ,Introdacqua,37.1068,066048,73073.93496609786,54307.759224724316,70797.6354738215
ABRUZZO,AQ,"L'Aquila",473.9067,066049,11845.357430059545,10187.10541547524,6848.760715980592
ABRUZZO,AQ,Molina Aterno,12.2078,066055,69128.80699225084,68009.04667507658,76520.24197644128
ABRUZZO,AQ,Montereale,104.4085,066056,155644.32301967745,138352.38232519384,136460.28398071037
ABRUZZO,AQ,Navelli,42.0036,066058,3820.187079202735,3820.187079202735,1187.473216581436
ABRUZZO,AQ,Pacentro,72.5874,066066,6541.101072637951,6228.549307455564,6779.541903966804
ABRUZZO,AQ,Pizzoli,56.4355,066072,38712.84829584215,29211.957012873103,29227.765147823622
ABRUZZO,AQ,Pratola Peligna,28.6736,066075,16056.425422688464,1929.9100915127503,2026.579501701914
ABRUZZO,AQ,Raiano,28.9925,066077,21304.92782616194,21255.575062516167,24172.850219884454
ABRUZZO,AQ,San Pio delle Camere,17.2122,066088,5567.902999035568,5549.58982582122,6477.060457117626
ABRUZZO,AQ,Scoppito,53.0036,066095,5122.69676022006,3805.5560377030993,3678.697673365583
ABRUZZO,AQ,Sulmona,57.9277,066098,1019.6667570091682,983.6299386994477,1153.1236351520947
ABRUZZO,AQ,Tornimparte,65.9606,066101,1118.6776651516207,1010.5711591465209,1168.5885210261883
ABRUZZO,AQ,"Villa Sant'Angelo",5.2153,066105,25982.135255881734,25797.008801027747,29157.04369834909
ABRUZZO,PE,Abbateggio,15.4014,068001,4659.321879829106,4212.763774721779,3901.4862285246795
ABRUZZO,PE,Alanno,32.5275,068002,15479.431865344706,14481.063715317807,14132.043347936362
ABRUZZO,PE,Bolognano,16.9583,068003,9019.217138510345,8989.644598810022,7535.222280535195
ABRUZZO,PE,Brittoli,15.9862,068004,6598.59065944377,6598.59065944377,8178.670353179617
ABRUZZO,PE,Carpineto della Nora,24.0818,068008,6265.333571410775,6143.408300044016,6143.407469541313
ABRUZZO,PE,Castiglione a Casauria,16.5744,068009,45633.50649193938,43289.419828168735,40780.529008591555
ABRUZZO,PE,Catignano,17.0254,068010,69978.76936812057,60181.129371409785,57213.4181869442
ABRUZZO,PE,"Città Sant'Angelo",61.9994,068012,587.5437504233912,497.3882005309729,516.287093100901
ABRUZZO,PE,Civitaquana,21.8798,068013,17398.596422270773,17403.112459894517,10059.909139937294
