regione,provincia,comune_istat,popolazione_residente,pro_com_t,richiesto_pro_capite,concesso_pro_capite,liquidato_pro_capite
ABRUZZO,AQ,Anversa degli Abruzzi,308,066004,200.25055194805194,200.25055194805194,198.7370779220779
ABRUZZO,AQ,Barete,631,066008,883.3245641838353,869.3187163232961,884.7972424722661
ABRUZZO,AQ,Cagnano Amiterno,1107,066013,1345.2839295392953,1141.8406142728095,1019.0835140018066
ABRUZZO,AQ,Calascio,125,066014,4341.25032,4080.14448,3588.6196800000002
ABRUZZO,AQ,Campotosto,457,066016,8549.245842450766,7893.800525164114,8507.686608315096
ABRUZZO,AQ,Cansano,215,066018,625.7415813953488,622.9373488372092,446.35548837209296
ABRUZZO,AQ,Capestrano,824,066019,144.60821601941748,144.04496359223302,149.80644417475727
ABRUZZO,AQ,Capitignano,623,066021,12058.834333868374,10776.857463884431,10309.48783306581
ABRUZZO,AQ,Castel del Monte,400,066026,491.505075,427.6121,426.22127500000005
ABRUZZO,AQ,Castel di Ieri,292,066027,199.91003424657535,198.82609589041095,226.68414383561645
ABRUZZO,AQ,Castelvecchio Subequo,820,066031,100.89362195121952,94.3058780487805,113.37936585365854
ABRUZZO,AQ,Civitella Roveto,3010,066036,48.6106146179402,48.19637541528239,54.14285049833887
ABRUZZO,AQ,Corfinio,957,066041,373.5737722048067,350.10051201671894,325.5196029258098
ABRUZZO,AQ,Gagliano Aterno,225,066045,821.1678666666668,507.9760444444444,499.0119111111111
ABRUZZO,AQ,Introdacqua,1942,066048,1396.2615293511844,1037.6864881565398,1352.7670957775488
ABRUZZO,AQ,"L'Aquila",69717,066049,80.51973335054578,69.24763701823085,46.55498070771834
ABRUZZO,AQ,Molina Aterno,344,066055,2453.22863372093,2413.490813953488,2715.5343313953485
ABRUZZO,AQ,Montereale,2195,066056,7403.457995444188,6580.940642369021,6490.940118451025
ABRUZZO,AQ,Navelli,569,066058,282.00634446397186,282.00634446397186,87.65931458699473
ABRUZZO,AQ,Pacentro,1085,066066,437.6050875576037,416.6951152073733,453.55697695852535
ABRUZZO,AQ,Pizzoli,4299,066072,508.20631542219115,383.48253082112114,383.69005350081414
ABRUZZO,AQ,Pratola Peligna,7019,066075,65.59275110414589,7.883953554637413,8.2788616612053
ABRUZZO,AQ,Raiano,2618,066077,235.9370206264324,235.39047364400307,267.6972345301757
ABRUZZO,AQ,San Pio delle Camere,650,066088,147.4397846153846,146.95484615384615,171.51455384615386
ABRUZZO,AQ,Scoppito,3789,066095,71.66043019266297,53.235199261018735,51.4606017418844
ABRUZZO,AQ,Sulmona,21960,066098,2.6897518214936245,2.594691256830601,3.041794171220401
ABRUZZO,AQ,Tornimparte,2749,066101,26.841997089850853,24.248046562386325,28.039578028373956
ABRUZZO,AQ,"Villa Sant'Angelo",489,066105,277.1055828220859,275.1311656441718,310.9667280163599
ABRUZZO,PE,Abbateggio,357,068001,201.00862745098038,181.74358543417367,168.31470588235294
ABRUZZO,PE,Alanno,3325,068002,151.43074285714286,141.664,138.24963609022558
ABRUZZO,PE,Bolognano,1004,068003,152.3412250996016,151.84172310756972,127.27545816733067
ABRUZZO,PE,Brittoli,249,068004,423.6401204819277,423.6401204819277,525.0837751004016
ABRUZZO,PE,Carpineto della Nora,521,068008,289.5979078694818,283.96224568138194,283.96220729366604
ABRUZZO,PE,Castiglione a Casauria,712,068009,1062.2865028089886,1007.7193258426965,949.3157303370785
ABRUZZO,PE,Catignano,1240,068010,960.8197903225807,826.296612903226,785.5494596774193
ABRUZZO,PE,"Città Sant'Angelo",14886,068012,2.4470885395673787,2.071595458820368,2.1503083434099155
ABRUZZO,PE,Civitaquana,1124,068013,338.68132562277583,338.7692348754449,195.82633451957295
ABRUZZO,PE,Civitella Casanova,1572,068014,72.90469465648854,70.42245547073792,72.5637786259542
ABRUZZO,PE,Collecorvino,6013,068015,43.97790121403625,41.872329951771164,46.94835523033428
ABRUZZO,PE,Corvara,213,068016,357.90845070422534,357.90845070422534,411.2329107981221
ABRUZZO,PE,Cugnoli,1336,068017,120.26219311377245,117.4158383233533,116.84052395209581
ABRUZZO,PE,Elice,1630,068018,216.75649693251532,210.00074846625765,224.2429263803681
ABRUZZO,PE,Farindola,1328,068019,1335.1677861445778,1236.6198644578312,1159.797176204819
ABRUZZO,PE,Loreto Aprutino,7050,068021,15.138655319148937,13.100636879432624,14.461967375886525
ABRUZZO,PE,Montesilvano,53493,068024,3.4405496046211654,3.339730992840185,3.3725631391023123
ABRUZZO,PE,Penne,11094,068027,158.84099332972775,144.6270452496845,147.29271858662338
ABRUZZO,PE,Pescosansonesco,447,068029,547.610067114094,348.18017897091715,342.96948545861295
ABRUZZO,PE,Pianella,8527,068030,13.909398381611352,13.909397208865954,16.30970915914155
ABRUZZO,PE,Picciano,1264,068031,596.9579113924051,503.075118670886,482.89319620253167
ABRUZZO,PE,Pietranico,435,068032,255.09271264367817,252.78439080459768,377.6904137931034
ABRUZZO,PE,San Valentino in Abruzzo Citeriore,1813,068038,167.64174296745725,166.55437396580254,165.603028130171
ABRUZZO,PE,Tocco da Casauria,2375,068042,30.61474947368421,30.0362147368421,29.68954105263158
ABRUZZO,PE,"Torre de' Passeri",2846,068043,239.83914617006323,192.44906535488406,197.22834504567814
ABRUZZO,PE,Villa Celiera,543,068046,306.89480662983425,287.8924493554328,347.1773664825046
ABRUZZO,TE,Ancarano,1871,067002,1362.2019882415823,1178.2603741314806,1238.4127578834848
ABRUZZO,TE,Arsita,732,067003,3039.162540983607,2380.203346994536,2496.639207650273
ABRUZZO,TE,Atri,9935,067004,89.8941026673377,77.22809461499749,55.181267237040764
ABRUZZO,TE,Basciano,2314,067005,2173.2437510803807,2022.8683016421785,2100.1447623163353
ABRUZZO,TE,Bellante,6835,067006,457.57010534016086,341.8404667154353,497.0208632040965
ABRUZZO,TE,Bisenti,1678,067007,2197.6290405244345,1961.4893146603104,1991.5161025029797
ABRUZZO,TE,Campli,6536,067008,2006.296800795594,1763.8645119339046,1697.1374433904534
ABRUZZO,TE,Canzano,1769,067009,606.7577444884115,607.4216336913511,581.3792481628037
ABRUZZO,TE,Castel Castagna,424,067010,17200.606061320756,14588.437169811321,13957.299528301886
ABRUZZO,TE,Castellalto,7248,067011,194.3015135209713,174.26959437086094,165.37482201986754
ABRUZZO,TE,Castelli,944,067012,4888.398241525423,4592.55344279661,4181.983580508475
ABRUZZO,TE,Castiglione Messer Raimondo,1992,067013,795.4868323293173,411.94342871485946,404.26148092369476
ABRUZZO,TE,Castilenti,1314,067014,486.610601217656,317.0081811263318,158.45165144596652
ABRUZZO,TE,Cellino Attanasio,2208,067015,1090.7141304347824,936.9976086956522,969.0559148550726
ABRUZZO,TE,Cermignano,1438,067016,1079.1357371349095,962.9665507649513,971.2081710709317
