regione,provincia,comune_istat,pro_com_t,totale_richiesto,totale_concesso,totale_liquidato
ABRUZZO,AQ,Anversa degli Abruzzi,066004,61677.17,61677.17,61211.02
ABRUZZO,AQ,Barete,066008,557377.8,548540.1099999999,558307.0599999999
ABRUZZO,AQ,Cagnano Amiterno,066013,1489229.3099999998,1264017.56,1128125.45
ABRUZZO,AQ,Calascio,066014,542656.29,510018.06,448577.46
ABRUZZO,AQ,Campotosto,066016,3907005.35,3607466.8400000003,3888012.7799999993
ABRUZZO,AQ,Cansano,066018,134534.44,133931.53,95966.43
ABRUZZO,AQ,Capestrano,066019,119157.17,118693.05,123440.51
ABRUZZO,AQ,Capitignano,066021,7512653.789999997,6713982.2,6422810.92
ABRUZZO,AQ,Castel del Monte,066026,196602.03,171044.84,170488.51
ABRUZZO,AQ,Castel di Ieri,066027,58373.73,58057.22,66191.77
ABRUZZO,AQ,Castelvecchio Subequo,066031,82732.77,77330.82,92971.08
ABRUZZO,AQ,Civitella Roveto,066036,146317.95,145071.09,162969.98
ABRUZZO,AQ,Corfinio,066041,357510.1,335046.19,311522.26
ABRUZZO,AQ,Gagliano Aterno,066045,184762.77000000002,114294.61,112277.68
ABRUZZO,AQ,Introdacqua,066048,2711539.89,2015187.1600000001,2627073.6999999997
ABRUZZO,AQ,"L'Aquila",066049,5613594.25,4827737.51,3245673.59
ABRUZZO,AQ,Molina Aterno,066055,843910.6499999999,830240.84,934143.8099999999
ABRUZZO,AQ,Montereale,066056,16250590.299999993,14445164.71,14247613.56
ABRUZZO,AQ,Navelli,066058,160461.61,160461.61,49878.15
ABRUZZO,AQ,Pacentro,066066,474801.52,452114.2,492109.32
ABRUZZO,AQ,Pizzoli,066072,2184778.9499999997,1648591.4,1649483.54
ABRUZZO,AQ,Pratola Peligna,066075,460395.51999999996,55337.47,58109.33
ABRUZZO,AQ,Raiano,066077,617683.12,616252.26,700831.36
ABRUZZO,AQ,San Pio delle Camere,066088,95835.86,95520.65,111484.46
ABRUZZO,AQ,Scoppito,066095,271521.37,201708.16999999998,194984.22
ABRUZZO,AQ,Sulmona,066098,59066.95,56979.42,66797.8
ABRUZZO,AQ,Tornimparte,066101,73788.65,66657.88,77080.8
ABRUZZO,AQ,"Villa Sant'Angelo",066105,135504.63,134539.14,152062.73
ABRUZZO,PE,Abbateggio,068001,71760.08,64882.46,60088.35
ABRUZZO,PE,Alanno,068002,503507.22,471032.8,459680.04000000004
ABRUZZO,PE,Bolognano,068003,152950.59,152449.09,127784.56
ABRUZZO,PE,Brittoli,068004,105486.39,105486.39,130745.86
ABRUZZO,PE,Carpineto della Nora,068008,150880.51,147944.33,147944.31
ABRUZZO,PE,Castiglione a Casauria,068009,756347.99,717496.1599999999,675912.7999999999
ABRUZZO,PE,Catignano,068010,1191416.54,1024607.8000000002,974081.33
ABRUZZO,PE,"Città Sant'Angelo",068012,36427.36,30837.77,32009.49
ABRUZZO,PE,Civitaquana,068013,380677.81000000006,380776.62000000005,220108.8
ABRUZZO,PE,Civitella Casanova,068014,114606.18,110704.1,114070.26000000001
ABRUZZO,PE,Collecorvino,068015,264439.12,251778.32,282300.46
ABRUZZO,PE,Corvara,068016,76234.5,76234.5,87592.61
ABRUZZO,PE,Cugnoli,068017,160670.29,156867.56,156098.94
ABRUZZO,PE,Elice,068018,353313.08999999997,342301.22,365515.97
ABRUZZO,PE,Farindola,068019,1773102.8199999994,1642231.18,1540210.6499999997
ABRUZZO,PE,Loreto Aprutino,068021,106727.52,92359.49,101956.87
ABRUZZO,PE,Montesilvano,068024,184045.32,178652.23,180408.52
ABRUZZO,PE,Penne,068027,1762181.9799999997,1604492.44,1634065.42
ABRUZZO,PE,Pescosansonesco,068029,244781.7,155636.53999999998,153307.36
ABRUZZO,PE,Pianella,068030,118605.44,118605.43,139072.89
ABRUZZO,PE,Picciano,068031,754554.8,635886.95,610377.0
ABRUZZO,PE,Pietranico,068032,110965.33,109961.20999999999,164295.33
ABRUZZO,PE,San Valentino in Abruzzo Citeriore,068038,303934.48,301963.08,300238.29000000004
ABRUZZO,PE,Tocco da Casauria,068042,72710.03,71336.01,70512.66
ABRUZZO,PE,"Torre de' Passeri",068043,682582.21,547710.04,561311.87
ABRUZZO,PE,Villa Celiera,068046,166643.88,156325.6,188517.31
ABRUZZO,TE,Ancarano,067002,2548679.9200000004,2204525.16,2317070.27
ABRUZZO,TE,Arsita,067003,2224666.9800000004,1742308.8500000003,1827539.9
ABRUZZO,TE,Atri,067004,893097.91,767261.12,548225.89
ABRUZZO,TE,Basciano,067005,5028886.040000001,4680917.250000001,4859734.98
ABRUZZO,TE,Bellante,067006,3127491.6699999995,2336479.5900000003,3397137.5999999996
ABRUZZO,TE,Bisenti,067007,3687621.530000001,3291379.0700000008,3341764.02
ABRUZZO,TE,Campli,067008,13113155.890000002,11528618.450000001,11092490.330000004
